Year,Facilities,Vanue,Usage,District,Remarks
2021,Activity Room,Chuk Yuen Sports Centre,77%,Wong Tai Sin,
2021,Activity Room,Po Kong Village Road Sports Centre,79%,Wong Tai Sin,
2021,Activity Room,Boundary Street Sports Centre,0%,Yau Tsim Mong,
2021,Activity Room,Fa Yuen Street Sports Centre,92%,Yau Tsim Mong,
2021,Activity Room,Kowloon Park Sports Centre,93%,Yau Tsim Mong,
2021,Activity Room,Kwun Chung Sports Centre,0%,Yau Tsim Mong,
2021,Activity Room,Tai Kok Tsui Sports Centre,81%,Yau Tsim Mong,
2021,Activity Room,Fung Kam Street Sports Centre,84%,Yuen Long,
2021,Activity Room,Long Ping Sports Centre,79%,Yuen Long,
2021,Activity Room,Ping Shan Tin Shui Wai Sports Centre,92%,Yuen Long,
2021,Activity Room,Tin Fai Road Sports Centre,0%,Yuen Long,
2021,Activity Room,Tin Shui Sports Centre,0%,Yuen Long,
2021,Activity Room,Tin Shui Wai Sports Centre,87%,Yuen Long,
2021,Activity Room,Yuen Long Sports Centre,0%,Yuen Long,
2022,Activity Room,Shek Tong Tsui Sports Centre,0%,Central & Western,
2022,Activity Room,Smithfield Sports Centre,84%,Central & Western,
2022,Activity Room,Chai Wan Sports Centre,82%,Eastern,
2022,Activity Room,Island East Sports Centre,89%,Eastern,
2022,Activity Room,Java Road Sports Centre,64%,Eastern,
2022,Activity Room,Sai Wan Ho Sports Centre,62%,Eastern,
2022,Activity Room,Siu Sai Wan Sports Centre,78%,Eastern,
2022,Activity Room,Cheung Chau Sports Centre,54%,Islands,
2022,Activity Room,Mui Wo Sports Centre,37%,Islands,
2022,Activity Room,Peng Chau Sports Centre,39%,Islands,
2022,Activity Room,Praya Street Sports Centre,60%,Islands,
2022,Activity Room,Tung Chung Man Tung Road Sports Centre,79%,Islands,
2022,Activity Room,Tung Chung North Park,84%,Islands,
2022,Activity Room,Fat Kwong Street Sports Centre,73%,Kowloon City,
2022,Activity Room,Ho Man Tin Sports Centre,80%,Kowloon City,
2022,Activity Room,Hung Hom Municipal Services Building Sports Centre,92%,Kowloon City,
2022,Activity Room,Kowloon City Sports Centre,87%,Kowloon City,
2022,Activity Room,To Kwa Wan Sports Centre,0%,Kowloon City,
2022,Activity Room,Fung Shue Wo Sports Centre,67%,Kwai Tsing,
2022,Activity Room,North Kwai Chung Tang Shiu Kin Sports Centre,71%,Kwai Tsing,
2022,Activity Room,Osman Ramju Sadick Memorial Sports Centre,0%,Kwai Tsing,
2022,Activity Room,Tai Wo Hau Sports Centre,81%,Kwai Tsing,
2022,Activity Room,Tsing Yi Southwest Sports Centre,73%,Kwai Tsing,
2022,Activity Room,Tsing Yi Sports Centre,79%,Kwai Tsing,
2022,Activity Room,Choi Wing Road Sports Centre,66%,Kwun Tong,
2022,Activity Room,Chun Wah Road Sports Centre,82%,Kwun Tong,
2022,Activity Room,Hiu Kwong Street Sports Centre,58%,Kwun Tong,
2022,Activity Room,Kowloon Bay Sports Centre,73%,Kwun Tong,
2022,Activity Room,Lam Tin South Sports Centre,73%,Kwun Tong,
2022,Activity Room,Lei Yue Mun Sports Centre,71%,Kwun Tong,
2022,Activity Room,Ngau Tau Kok Road Sports Centre,0%,Kwun Tong,
2022,Activity Room,Shui Wo Street Sports Centre,79%,Kwun Tong,
2022,Activity Room,Luen Wo Hui Sports Centre,80%,North,
2022,Activity Room,Po Wing Road Sports Centre,81%,North,
2022,Activity Room,Hang Hau Sports Centre,75%,Sai Kung,
2022,Activity Room,Hong Kong Velodrome,63%,Sai Kung,
2022,Activity Room,Po Lam Sports Centre,72%,Sai Kung,
2022,Activity Room,Tiu Keng Leng Sports Centre,82%,Sai Kung,
2022,Activity Room,Tseung Kwan O Sport Centre,69%,Sai Kung,
2022,Activity Room,Tseung Kwan O Sports Ground,62%,Sai Kung,
2022,Activity Room,Tsui Lam Sports Centre,71%,Sai Kung,
2022,Activity Room,Che Kung Temple Sports Centre,90%,Sha Tin,
2022,Activity Room,Heng On Sports Centre,96%,Sha Tin,
2022,Activity Room,Hin Keng Sports Centre,89%,Sha Tin,
2022,Activity Room,Ma On Shan Sports Centre,82%,Sha Tin,
2022,Activity Room,Mei Lam Sports Centre,67%,Sha Tin,
2022,Activity Room,Yuen Chau Kok Sports Centre,89%,Sha Tin,
2022,Activity Room,Yuen Wo Road Sports Centre,0%,Sha Tin,
2022,Activity Room,Pei Ho Street Sports Centre,64%,Sham Shui Po,
2022,Activity Room,Po On Road Sports Centre,86%,Sham Shui Po,
2022,Activity Room,Sham Shui Po Sports Centre,0%,Sham Shui Po,
2022,Activity Room,Shek Kip Mei Park Sports Centre,66%,Sham Shui Po,
2022,Activity Room,Tung Chau Street Park,72%,Sham Shui Po,
2022,Activity Room,Aberdeen Sports Centre,69%,Southern,
2022,Activity Room,Ap Lei Chau Sports Centre,70%,Southern,
2022,Activity Room,Stanley Sports Centre,52%,Southern,
2022,Activity Room,Wong Chuk Hang Sports Centre,66%,Southern,
2022,Activity Room,Yue Kwong Road Sports Centre,74%,Southern,
2022,Activity Room,Fu Heng Sports Centre,86%,Tai Po,
2022,Activity Room,Fu Shin Sports Centre,73%,Tai Po,
2022,Activity Room,Tai Po Hui Sports Centre,86%,Tai Po,
2022,Activity Room,Tai Wo Sports Centre,0%,Tai Po,
2022,Activity Room,Tung Cheong Street Sports Centre,0%,Tai Po,
2022,Activity Room,Tsuen King Circuit Sports Centre,80%,Tsuen Wan,
2022,Activity Room,Tsuen Wan Sports Centre,81%,Tsuen Wan,
2022,Activity Room,Tsuen Wan West Sports Centre,92%,Tsuen Wan,
2022,Activity Room,Wai Tsuen Sports Centre,0%,Tsuen Wan,
2022,Activity Room,Yeung Uk Road Sports Centre,84%,Tsuen Wan,
2022,Activity Room,JC Tuen Mun Butterfly Beach Sports Centre,65%,Tuen Mun,
2022,Activity Room,Leung Tin Sports Centre,84%,Tuen Mun,
2022,Activity Room,Siu Lun Sports Centre,83%,Tuen Mun,
2022,Activity Room,Tai Hing Sports Centre,79%,Tuen Mun,
2022,Activity Room,Yau Oi Sports Centre,57%,Tuen Mun,
2022,Activity Room,Wong Nai Chung Sports Centre,85%,Wan Chai,
2022,Activity Room,Choi Hung Road Sports Centre,77%,Wong Tai Sin,
2022,Activity Room,Chuk Yuen Sports Centre,78%,Wong Tai Sin,
2022,Activity Room,Po Kong Village Road Sports Centre,80%,Wong Tai Sin,
2022,Activity Room,Boundary Street Sports Centre,65%,Yau Tsim Mong,
2022,Activity Room,Fa Yuen Street Sports Centre,92%,Yau Tsim Mong,
2022,Activity Room,Kowloon Park Sports Centre,83%,Yau Tsim Mong,
2022,Activity Room,Kwun Chung Sports Centre,0%,Yau Tsim Mong,
2022,Activity Room,Tai Kok Tsui Sports Centre,79%,Yau Tsim Mong,
2022,Activity Room,Fung Kam Street Sports Centre,77%,Yuen Long,
2022,Activity Room,Long Ping Sports Centre,77%,Yuen Long,
2022,Activity Room,Ping Shan Tin Shui Wai Sports Centre,88%,Yuen Long,
2022,Activity Room,Tin Fai Road Sports Centre,87%,Yuen Long,
2022,Activity Room,Tin Shui Sports Centre,0%,Yuen Long,
2022,Activity Room,Tin Shui Wai Sports Centre,77%,Yuen Long,
2022,Activity Room,Yuen Long Sports Centre,0%,Yuen Long,
